Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Description
2061,allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2062,allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2063,allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2064,allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2065,allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2066,allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2067,allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2068,allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2069,allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",Allergy is an immune system reaction to a substance in the environment.
2070,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2071,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2072,gerd, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2073,gerd, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2074,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2075,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2076,gerd, acidity, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2077,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2078,gerd, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2079,gerd, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
2080,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2081,chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2082,chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2083,chronic cholestasis,itching, vomiting, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2084,chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2085,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2086,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2087,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2088,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2089,chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
2090,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2091,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2092,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2093,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2094,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2095,drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2096,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2097,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2098,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2099,drug reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Drug Reaction occurs when the body reacts adversely to a medication.
2110,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2111,aids, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2112,aids, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2113,aids, muscle_wasting, patches_in_throat, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2114,aids, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2115,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2116,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2117,aids, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2118,aids, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2119,aids, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
2120,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2121,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2122,diabetes, weight_loss, restlessness, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2123,diabetes, fatigue, restlessness, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2124,diabetes, fatigue, weight_loss, lethargy, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2125,diabetes, fatigue, weight_loss, restlessness, irregular_sugar_level,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2126,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2127,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2128,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2129,diabetes, fatigue, weight_loss, restlessness, lethargy,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Diabetes is a chronic condition that affects how the body processes blood sugar.
2130,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2131,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2132,gastroenteritis, sunken_eyes, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2133,gastroenteritis, vomiting, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2134,gastroenteritis, vomiting, sunken_eyes, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2135,gastroenteritis, vomiting, sunken_eyes, dehydration,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2136,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2137,gastroenteritis, sunken_eyes, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2138,gastroenteritis, vomiting, dehydration, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2139,gastroenteritis, vomiting, sunken_eyes, diarrhoea,,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
2140,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2141,bronchial asthma, cough, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2142,bronchial asthma, fatigue, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2143,bronchial asthma, fatigue, cough, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2144,bronchial asthma, fatigue, cough, high_fever, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2145,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2146,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2147,bronchial asthma, fatigue, cough, high_fever, breathlessness,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2148,bronchial asthma, cough, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2149,bronchial asthma, fatigue, high_fever, breathlessness, family_history,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
2150,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2151,hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2152,hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2153,hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2154,hypertension, headache, chest_pain, dizziness, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2155,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2156,hypertension, headache, chest_pain, dizziness, loss_of_balance,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2157,hypertension, chest_pain, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2158,hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2159,hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
2160,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2161,migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2162,migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2163,migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2164,migraine, acidity, indigestion, headache, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2165,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2166,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2167,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2168,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2169,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
2170,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2171,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2172,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2173,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2174,cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2175,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2176,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2177,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2178,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2179,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
2180,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2181,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2182,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2183,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2184,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2185,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2186,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
2187,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
